uniprot_accession,organism,organism_type,gh_family,length,molecular_weight,aromaticity,instability_index,gravy,predicted_pI,secondary_structure_fraction_helix,secondary_structure_fraction_turn,secondary_structure_fraction_sheet,optimum_temperature,optimum_pH,aa_A_fraction,aa_C_fraction,aa_D_fraction,aa_E_fraction,aa_F_fraction,aa_G_fraction,aa_H_fraction,aa_I_fraction,aa_K_fraction,aa_L_fraction,aa_M_fraction,aa_N_fraction,aa_P_fraction,aa_Q_fraction,aa_R_fraction,aa_S_fraction,aa_T_fraction,aa_V_fraction,aa_W_fraction,aa_Y_fraction
Q96UV7,Lentinula edodes (Shiitake mushroom) (Lentinus edodes),fungal,GH11,283,29473.8211,0.12367491166077738,29.285194346289746,-0.2346289752650177,4.550041007995605,0.1413427561837456,0.3957597173144876,0.431095406360424,,,4.946996466431095,2.1201413427561837,2.8268551236749118,2.4734982332155475,2.1201413427561837,15.547703180212014,1.0600706713780919,3.8869257950530036,1.0600706713780919,4.593639575971731,1.0600706713780919,4.593639575971731,5.6537102473498235,3.1802120141342756,1.4134275618374559,10.954063604240282,15.901060070671377,6.360424028268551,2.1201413427561837,8.12720848056537
U5HTZ3,Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus),fungal,GH10,396,41812.4407,0.09090909090909091,31.210378787878778,-0.06565656565656566,5.940493202209471,0.25757575757575757,0.32575757575757575,0.3813131313131313,,,11.363636363636363,2.272727272727273,5.05050505050505,1.7676767676767677,3.0303030303030303,9.595959595959595,1.2626262626262625,5.05050505050505,4.292929292929293,7.070707070707071,1.2626262626262625,5.555555555555555,4.292929292929293,5.303030303030303,1.7676767676767677,8.080808080808081,10.1010101010101,6.818181818181818,2.272727272727273,3.787878787878788
A0A024FRL8,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,382,39971.333,0.09162303664921466,31.71782722513088,0.07329842931937172,6.0748605728149405,0.2617801047120419,0.337696335078534,0.3743455497382199,,,12.827225130890053,1.5706806282722514,4.712041884816754,1.8324607329842932,4.712041884816754,8.638743455497382,1.0471204188481675,3.4031413612565444,3.4031413612565444,7.0680628272251305,1.0471204188481675,6.282722513089006,4.18848167539267,4.450261780104712,2.6178010471204187,9.947643979057592,8.115183246073299,9.68586387434555,1.8324607329842932,2.6178010471204187
A0A024FRX8,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,383,40181.4718,0.09138381201044388,31.862167101827666,0.03159268929503916,5.801578712463378,0.2558746736292428,0.33942558746736295,0.3759791122715405,,,12.010443864229766,1.566579634464752,4.699738903394256,2.088772845953003,4.438642297650131,8.616187989556137,1.0443864229765014,3.6553524804177546,3.6553524804177546,6.788511749347259,1.0443864229765014,6.266318537859008,3.91644908616188,4.699738903394256,2.349869451697128,10.443864229765014,8.355091383812011,9.660574412532638,1.8276762402088773,2.8720626631853787
A0A024FS83,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,398,42553.3211,0.10301507537688442,29.24349246231155,-0.010552763819095487,4.783137702941894,0.271356783919598,0.314070351758794,0.37688442211055273,,,11.809045226130653,2.2613065326633164,5.276381909547739,2.2613065326633164,4.522613065326633,7.5376884422110555,0.7537688442211056,4.0201005025125625,3.7688442211055277,7.035175879396985,2.2613065326633164,5.276381909547739,4.0201005025125625,6.28140703517588,1.5075376884422111,9.296482412060302,9.045226130653266,7.28643216080402,2.763819095477387,3.0150753768844223
A0A024FSH9,Irpex lacteus (Milk-white toothed polypore) (Polyporus tulipiferae),fungal,GH10,404,42897.0231,0.09900990099009901,31.883440594059397,-0.08539603960396042,4.492633628845215,0.23267326732673269,0.35148514851485146,0.3886138613861386,,,9.653465346534654,1.9801980198019802,4.9504950495049505,2.4752475247524752,3.217821782178218,8.168316831683168,1.2376237623762376,5.198019801980198,2.722772277227723,7.425742574257426,0.9900990099009901,4.9504950495049505,4.455445544554456,5.9405940594059405,0.9900990099009901,12.623762376237623,10.396039603960396,5.9405940594059405,3.217821782178218,3.4653465346534653
A0A059P9J8,Gloeophyllum trabeum (Brown rot fungus) (Agaricus trabeus),fungal,GH10,351,37931.1541,0.09401709401709402,28.083789173789164,-0.09743589743589745,4.572833442687989,0.29914529914529914,0.28774928774928776,0.4131054131054131,,,11.68091168091168,1.1396011396011396,5.128205128205129,4.5584045584045585,2.2792022792022792,6.837606837606837,0.8547008547008547,4.843304843304844,3.7037037037037037,8.262108262108262,1.7094017094017093,5.982905982905983,5.128205128205129,4.273504273504273,1.9943019943019944,5.698005698005698,11.396011396011396,7.407407407407407,2.849002849002849,4.273504273504273
A0A075WJH8,Malbranchea pulchella,fungal,GH10,396,42587.685,0.10606060606060606,28.68840909090909,-0.2080808080808081,4.556236457824707,0.2702020202020202,0.34090909090909094,0.3611111111111111,45,3.5,11.363636363636363,2.525252525252525,6.565656565656566,4.040404040404041,3.0303030303030303,8.83838383838384,2.0202020202020203,4.545454545454546,3.282828282828283,7.3232323232323235,1.0101010101010102,6.0606060606060606,4.797979797979798,3.5353535353535355,2.0202020202020203,7.828282828282828,7.828282828282828,5.808080808080808,3.0303030303030303,4.545454545454546
A0A0C4K5J5,Papiliotrema flavescens,fungal,GH10,344,38408.5756,0.12209302325581396,30.89566860465116,-0.2523255813953489,4.653090095520019,0.29941860465116277,0.30523255813953487,0.37790697674418605,,,10.465116279069768,1.4534883720930232,8.430232558139535,4.941860465116279,4.069767441860465,6.976744186046512,2.616279069767442,6.104651162790698,4.941860465116279,8.430232558139535,1.1627906976744187,6.104651162790698,4.941860465116279,3.7790697674418605,2.3255813953488373,4.069767441860465,4.941860465116279,6.104651162790698,2.616279069767442,5.523255813953488
A0A0F9XA32,Trichoderma harzianum (Hypocrea lixii),fungal,GH11,221,23850.760499999997,0.14932126696832576,19.08013574660632,-0.3380090497737557,7.87437801361084,0.16289592760180996,0.39819004524886875,0.39819004524886875,,,6.334841628959276,0.0,1.8099547511312217,3.167420814479638,4.072398190045249,13.574660633484163,1.8099547511312217,4.97737556561086,2.262443438914027,3.6199095022624435,0.9049773755656109,9.049773755656108,3.167420814479638,2.7149321266968327,3.167420814479638,12.217194570135746,8.597285067873303,7.6923076923076925,2.7149321266968327,8.144796380090497
