metric_x,metric_y,n,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman_r
score_salt_bridge_proxy,optimum_pH_y,20,0.30914861900450696,0.1847402025857292,0.33280287688047705,0.15164175439013117,0.30914861900450696
aromaticity,score_structure,155,-0.309120572420171,9.090718453577585e-05,-0.15376343727437103,0.05610496097100809,0.309120572420171
secondary_structure_fraction_turn,duet_n_stabilizing,20,0.3082510620851973,0.18608501996132648,0.2321823852344258,0.32460395800679864,0.3082510620851973
secondary_structure_fraction_turn,duet_n_stabilizing_mut,20,0.3082510620851973,0.18608501996132648,0.2321823852344258,0.32460395800679864,0.3082510620851973
gravy,predicted_pI,155,-0.3078928541540165,9.726514556872713e-05,-0.33244863982182604,2.3757151490172528e-05,0.3078928541540165
gravy,duet_mean_ddg,20,0.3037593984962406,0.19291416827770458,0.3276859443135132,0.15842356441647729,0.3037593984962406
gravy,duet_mean_ddg_mut,20,0.3037593984962406,0.19291416827770458,0.3276859443135133,0.15842356441647698,0.3037593984962406
length,secondary_structure_fraction_turn,155,-0.3005546885423258,0.00014479868459519197,-0.16427290130971717,0.04109963640068122,0.3005546885423258
secondary_structure_fraction_turn,score_structure,155,-0.2979961715272043,0.00016593843664420286,-0.14967065312189134,0.06305754044156824,0.2979961715272043
instability_index,xylanase_candidate_label,155,-0.2973939640989333,0.00017131573386687253,-0.2643025557545459,0.0008899045681768632,0.2973939640989333
score_instability,xylanase_candidate_label,155,0.2973939640989333,0.00017131573386687253,0.264302555754546,0.0008899045681768632,0.2973939640989333
instability_index,hbond_proxy,145,0.2968110944468719,0.00028875044079848403,0.06778952098278153,0.4178474424968192,0.2968110944468719
instability_index,score_hbond_proxy,145,0.2968110944468719,0.00028875044079848403,0.06778952098278157,0.4178474424968177,0.2968110944468719
hbond_proxy,score_instability,145,-0.2968110944468719,0.00028875044079848403,-0.06778952098278147,0.4178474424968192,0.2968110944468719
score_hbond_proxy,score_instability,145,-0.2968110944468719,0.00028875044079848403,-0.06778952098278151,0.4178474424968192,0.2968110944468719
instability_index,optimum_pH_x,23,0.29675072629855787,0.16912869342428238,0.3950580100408133,0.06208439949191916,0.29675072629855787
instability_index,optimum_pH_y,23,0.29675072629855787,0.16912869342428238,0.3950580100408133,0.06208439949191916,0.29675072629855787
score_instability,optimum_pH_y,23,-0.29675072629855787,0.16912869342428238,-0.3950580100408132,0.06208439949191916,0.29675072629855787
optimum_pH_x,score_instability,23,-0.2967507262985578,0.16912869342428247,-0.3950580100408132,0.06208439949191916,0.2967507262985578
instability_index,duet_n_stabilizing,20,-0.2898837708210535,0.2150648867249029,-0.22523157629216342,0.3397020248902861,0.2898837708210535
instability_index,duet_n_stabilizing_mut,20,-0.2898837708210535,0.2150648867249029,-0.22523157629216342,0.3397020248902861,0.2898837708210535
duet_n_stabilizing,score_instability,20,0.2898837708210535,0.2150648867249029,0.22523157629216353,0.3397020248902861,0.2898837708210535
score_instability,duet_n_stabilizing_mut,20,0.2898837708210535,0.2150648867249029,0.22523157629216353,0.3397020248902861,0.2898837708210535
length,instability_index,155,0.28972328081472304,0.000255610779020514,0.06012617627766585,0.4573737677620255,0.28972328081472304
length,score_instability,155,-0.28972328081472304,0.000255610779020514,-0.06012617627766584,0.4573737677620255,0.28972328081472304
duet_best_ddg,duet_mean_ddg,20,0.28421052631578947,0.2245845982112046,0.40848378131389385,0.0737575288758983,0.28421052631578947
